group,replicate,fastq_1,fastq_2,antibody,control
WT_SIN3B_IP,1,FASTQ/ENCFF526SSV.fastq.gz,FASTQ/ENCFF953OIR.fastq.gz,SIN3B,WT_SIN3B_INPUT
WT_SIN3B_IP,2,FASTQ/ENCFF044ZTQ.fastq.gz,FASTQ/ENCFF119GEQ.fastq.gz,SIN3B,WT_SIN3B_INPUT
WT_SIN3B_INPUT,1,FASTQ/ENCFF498JMO.fastq.gz,FASTQ/ENCFF502GTS.fastq.gz,,
WT_SIN3B_INPUT,2,FASTQ/ENCFF259GQA.fastq.gz,FASTQ/ENCFF837MIV.fastq.gz,,
WT_HDAC3_IP,1,FASTQ/ENCFF942ZRE.fastq.gz,FASTQ/ENCFF908SKY.fastq.gz,HDAC3,WT_HDAC3_INPUT
WT_HDAC3_IP,2,FASTQ/ENCFF770NDG.fastq.gz,FASTQ/ENCFF369MSV.fastq.gz,HDAC3,WT_HDAC3_INPUT
WT_HDAC3_INPUT,1,FASTQ/ENCFF498JMO.fastq.gz,FASTQ/ENCFF502GTS.fastq.gz,,
WT_HDAC3_INPUT,2,FASTQ/ENCFF259GQA.fastq.gz,FASTQ/ENCFF837MIV.fastq.gz,,
WT_LEF1_IP,1,FASTQ/ENCFF643QTB.fastq.gz,FASTQ/ENCFF103BRX.fastq.gz,LEF1,WT_LEF1_INPUT
WT_LEF1_IP,2,FASTQ/ENCFF238ZLM.fastq.gz,FASTQ/ENCFF211HML.fastq.gz,LEF1,WT_LEF1_INPUT
WT_LEF1_IP,3,FASTQ/ENCFF850KNY.fastq.gz,FASTQ/ENCFF037ZGC.fastq.gz,LEF1,WT_LEF1_INPUT
WT_LEF1_IP,4,FASTQ/ENCFF087CSK.fastq.gz,FASTQ/ENCFF660QON.fastq.gz,LEF1,WT_LEF1_INPUT
WT_LEF1_INPUT,1,FASTQ/ENCFF002EFD.fastq.gz,FASTQ/ENCFF002EFA.fastq.gz,,
WT_LEF1_INPUT,2,FASTQ/ENCFF002EFH.fastq.gz,FASTQ/ENCFF002EFF.fastq.gz,,
WT_LEF1_INPUT,3,FASTQ/ENCFF410PHD.fastq.gz,FASTQ/ENCFF368UOC.fastq.gz,,
WT_LEF1_INPUT,4,FASTQ/ENCFF240DTE.fastq.gz,FASTQ/ENCFF608MDV.fastq.gz,,
